模型,RMSE,MAE,R2
线性回归,0.6345121751159997,0.4878030242373573,0.376069621073722
岭回归,0.6345144161184045,0.48783638694312914,0.37606521380778246
随机森林,0.6028617464761424,0.465040230111322,0.43676236422754555
梯度提升树,0.6107627519916247,0.47254814385224825,0.4219022238608996
